Date,Time,Category,Item,Qty,Price Point Name,Location
2025-01-25,19:55:52,NA Bev,Bottle Pop,1,Dr. Pepper,SOFMC Island Canteen
2025-01-25,19:55:52,NA Bev,Bottle Pop,1,Mug Root Beer,SOFMC Island Canteen
2025-01-25,19:55:52,Snacks,Pretzel,3,,SOFMC Island Canteen
2025-01-25,19:54:11,NA Bev,Bottle Pop,1,Dr. Pepper,SOFMC Island Canteen
2025-01-25,19:54:11,NA Bev PST Exempt,Non-Alcoholic Beverages,1,Iced Tea,SOFMC Island Canteen
2025-01-25,19:53:56,Snacks,Pretzel,2,,SOFMC Island Canteen
2025-01-25,19:53:56,Sweets,Churro,1,Regular,SOFMC Island Canteen
2025-01-25,19:53:56,NA Bev,Bottle Pop,1,Dr. Pepper,SOFMC Island Canteen
2025-01-25,19:53:29,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2025-01-25,19:53:29,Sweets,Churro,2,Regular,SOFMC Island Canteen
2025-01-25,19:53:29,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Island Canteen
2025-01-25,19:53:29,Sweets,Churro,1,Regular,SOFMC Island Canteen
2025-01-25,19:53:15,Sweets,Churro,1,Regular,SOFMC Island Canteen
2025-01-25,19:53:15,Snacks,Pretzel,2,,SOFMC Island Canteen
2025-01-25,19:52:37,Sweets,Churro,2,Regular,SOFMC TacoTacoTaco
2025-01-25,19:52:37,NA Bev PST Exempt,Water,1,Aquafina,SOFMC TacoTacoTaco
2025-01-25,19:52:01,Snacks,Pretzel,1,,SOFMC Island Canteen
2025-01-25,19:52:01,NA Bev,Bottle Pop,1,Diet Pepsi,SOFMC Island Canteen
2025-01-25,19:51:30,Sweets,Churro,3,Regular,SOFMC Island Canteen
2025-01-25,19:51:20,Snacks,Pretzel,1,,SOFMC Island Canteen
2025-01-25,19:50:12,"Wine, Cider & Coolers",Cider & Coolers,1,Strait & Narrow,SOFMC Portable Stations
2025-01-25,19:50:06,Liquor,Tequila Slushy,1,Mangonada,SOFMC TacoTacoTaco
2025-01-25,19:50:04,NA Bev PST Exempt,Hot Drinks,1,Coffee,SOFMC ReMax Fan Deck
2025-01-25,19:49:41,Beer,Draught Beer,1,Stanley Park Amber 12oz,SOFMC Portable Stations
2025-01-25,19:49:33,NA Bev PST Exempt,Non-Alcoholic Beverages,1,Lemonade,SOFMC Portable Stations
2025-01-25,19:49:28,NA Bev PST Exempt,Hot Drinks,1,Hot Chocolate,SOFMC Portable Stations
2025-01-25,19:49:26,Liquor,Tequila Slushy,1,Mangonada,SOFMC TacoTacoTaco
2025-01-25,19:49:21,Sweets,Candy,1,Kit Kat 73g,SOFMC ReMax Fan Deck
2025-01-25,19:49:17,Sweets,Churro,2,Regular,SOFMC TacoTacoTaco
2025-01-25,19:49:05,NA Bev PST Exempt,Water,1,Aquafina,SOFMC TacoTacoTaco
2025-01-25,19:49:03,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2025-01-25,19:48:55,Food,Chicken Tenders,1,,SOFMC Island Canteen
2025-01-25,19:48:55,Food,Fries,1,Fries,SOFMC Island Canteen
2025-01-25,19:48:49,"Wine, Cider & Coolers",Cider & Coolers,2,Ole Margarita,SOFMC Island Canteen
2025-01-25,19:48:49,Sweets,Candy,1,Kit Kat 73g,SOFMC TacoTacoTaco
2025-01-25,19:48:40,Beer,Draught Beer,1,Stanley Park Lager 12oz,SOFMC ReMax Fan Deck
2025-01-25,19:48:35,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2025-01-25,19:48:27,Beer,Cans of Beer,2,PHILLIPS Blue Buck,SOFMC Island Canteen
2025-01-25,19:48:27,Food,Fries,1,Fries,SOFMC Island Canteen
2025-01-25,19:47:59,Food,Jalapeno Poppers,1,Regular,SOFMC TacoTacoTaco
2025-01-25,19:47:59,Food,Fries,1,Fries,SOFMC TacoTacoTaco
2025-01-25,19:47:57,"Wine, Cider & Coolers",Cider & Coolers,1,Mike's Hard Lemonade,SOFMC ReMax Fan Deck
2025-01-25,19:47:47,Beer,Cans of Beer,2,PHILLIPS Dino Sour,SOFMC Portable Stations
2025-01-25,19:47:18,Sweets,Churro,3,Regular,SOFMC Island Canteen
2025-01-25,19:47:18,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Island Canteen
2025-01-25,19:47:15,NA Bev PST Exempt,Hot Drinks,1,Coffee,SOFMC ReMax Fan Deck
2025-01-25,19:47:10,NA Bev,Bottle Pop,1,Diet Pepsi,SOFMC ReMax Fan Deck
2025-01-25,19:47:10,Snacks,Popcorn,1,Regular,SOFMC ReMax Fan Deck
2025-01-25,19:46:50,Beer,Cans of Beer,1,Michelob Ultra,SOFMC Portable Stations
2025-01-25,19:46:48,Beer,Draught Beer,1,Stanley Park Hazy IPA 12oz,SOFMC Portable Stations
2025-01-25,19:46:20,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2025-01-25,19:45:55,"Wine, Cider & Coolers",Cider & Coolers,1,Tempo,SOFMC Island Canteen
2025-01-25,19:45:38,Beer,Cans of Beer,2,PHILLIPS Tilt Lager,SOFMC Portable Stations
2025-01-25,19:45:38,"Wine, Cider & Coolers",Cider & Coolers,2,Ward's Cider,SOFMC Portable Stations
2025-01-25,19:45:34,Beer,Cans of Beer,1,Michelob Ultra,SOFMC Island Canteen
2025-01-25,19:45:34,Beer,Cans of Beer,1,PHILLIPS Blue Buck,SOFMC Island Canteen
2025-01-25,19:45:34,NA Bev,Bottle Pop,1,Pepsi,SOFMC Island Canteen
2025-01-25,19:45:32,Snacks,Popcorn,1,Regular,SOFMC TacoTacoTaco
2025-01-25,19:45:32,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2025-01-25,19:45:30,NA Bev PST Exempt,Hot Drinks,1,Coffee,SOFMC Portable Stations
2025-01-25,19:45:18,Beer,Draught Beer,1,Stanley Park Hazy IPA 12oz,SOFMC ReMax Fan Deck
2025-01-25,19:45:18,Beer,Draught Beer,1,Stanley Park Lager 12oz,SOFMC ReMax Fan Deck
2025-01-25,19:45:18,"Wine, Cider & Coolers",Cider & Coolers,1,Nutrl,SOFMC ReMax Fan Deck
2025-01-25,19:45:16,Beer,Draught Beer,1,Stanley Park Hazy IPA 12oz,SOFMC ReMax Fan Deck
2025-01-25,19:45:11,"Wine, Cider & Coolers",Cider & Coolers,1,Nutrl,SOFMC ReMax Fan Deck
2025-01-25,19:45:11,Beer,Draught Beer,1,Stanley Park Amber 12oz,SOFMC ReMax Fan Deck
2025-01-25,19:45:01,Snacks,Pretzel,1,,SOFMC Phillips Bar
2025-01-25,19:44:56,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2025-01-25,19:44:50,Beer,Cans of Beer,2,PHILLIPS Tilt Lager,SOFMC Portable Stations
2025-01-25,19:44:50,"Wine, Cider & Coolers",Cider & Coolers,1,Strait & Narrow,SOFMC Portable Stations
2025-01-25,19:44:48,Sweets,Candy,1,Twizzlers 250g,SOFMC ReMax Fan Deck
2025-01-25,19:44:44,Sweets,Churro,2,Regular,SOFMC TacoTacoTaco
2025-01-25,19:44:44,Food,Extras,1,Chocolate Sauce,SOFMC TacoTacoTaco
2025-01-25,19:44:40,Beer,Cans of Beer,2,PHILLIPS Blue Buck,SOFMC Island Canteen
2025-01-25,19:44:40,Sweets,Candy,2,Skittles 92g,SOFMC Island Canteen
2025-01-25,19:44:40,NA Bev PST Exempt,Non-Alcoholic Beverages,2,Iced Tea,SOFMC Island Canteen
2025-01-25,19:44:37,Beer,Cans of Beer,1,PHILLIPS Dino Sour,SOFMC Phillips Bar
2025-01-25,19:44:26,NA Bev PST Exempt,Water,1,Aquafina,SOFMC TacoTacoTaco
2025-01-25,19:44:26,NA Bev PST Exempt,Water,1,Bubly Lime,SOFMC TacoTacoTaco
2025-01-25,19:44:23,Beer,Cans of Beer,1,PHILLIPS Tilt Lager,SOFMC Portable Stations
2025-01-25,19:44:22,"Wine, Cider & Coolers",Cider & Coolers,1,Nutrl,SOFMC Portable Stations
2025-01-25,19:44:22,"Wine, Cider & Coolers",Cider & Coolers,1,Tempo,SOFMC Portable Stations
2025-01-25,19:44:19,Beer,Draught Beer,1,Stanley Park Lager 12oz,SOFMC ReMax Fan Deck
2025-01-25,19:44:19,Liquor,Coffee & Baileys,1,Coffee & Cream Liqueur,SOFMC Portable Stations
2025-01-25,19:44:14,Food,Pizza Slice,1,Pepperoni,SOFMC Island Slice
2025-01-25,19:43:58,Food,Chicken Tenders,1,,SOFMC Island Canteen
2025-01-25,19:43:58,Food,Fries,1,Fries,SOFMC Island Canteen
2025-01-25,19:43:57,NA Bev PST Exempt,Water,2,Aquafina,SOFMC Island Canteen
2025-01-25,19:43:57,Food,Hot Dog,1,Regular,SOFMC Island Canteen
2025-01-25,19:43:52,Beer,Cans of Beer,1,Bud Light,SOFMC ReMax Fan Deck
2025-01-25,19:43:48,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2025-01-25,19:43:46,"Wine, Cider & Coolers",Cider & Coolers,2,Tempo,SOFMC Portable Stations
2025-01-25,19:43:45,"Wine, Cider & Coolers",Cider & Coolers,1,Mike's Hard Lemonade,SOFMC Portable Stations
2025-01-25,19:43:39,Beer,Draught Beer,1,Stanley Park Hazy IPA 24oz,SOFMC Portable Stations
2025-01-25,19:43:38,Beer,Draught Beer,1,Blue Buck 24oz,SOFMC Phillips Bar
2025-01-25,19:43:37,Food,Pizza Slice,1,Pepperoni,SOFMC Island Slice
