Date,Time,Category,Item,Qty,Price Point Name,Location
2025-03-29,20:08:39,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-03-29,20:07:54,Sweets,Churro,3,Regular,SOFMC Island Canteen
2025-03-29,20:07:43,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Island Canteen
2025-03-29,20:07:39,Sweets,Churro,3,Regular,SOFMC TacoTacoTaco
2025-03-29,20:07:15,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Island Canteen
2025-03-29,20:06:03,Sweets,Churro,2,Regular,SOFMC Island Canteen
2025-03-29,20:05:22,NA Bev,Bottle Pop,1,Diet Pepsi,SOFMC Portable Stations
2025-03-29,20:05:22,NA Bev PST Exempt,Other Beverages,1,Iced Tea,SOFMC Portable Stations
2025-03-29,20:05:21,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2025-03-29,20:04:57,Sweets,Churro,2,Regular,SOFMC TacoTacoTaco
2025-03-29,20:04:48,Snacks,Chips,1,Miss Vickie's Salt & Vinegar,SOFMC TacoTacoTaco
2025-03-29,20:04:02,NA Bev,Bottle Pop,1,7-Up,SOFMC TacoTacoTaco
2025-03-29,20:04:00,Food,Fries,2,Fries,SOFMC Island Canteen
2025-03-29,20:04:00,NA Bev,Bottle Pop,1,7-Up,SOFMC Island Canteen
2025-03-29,20:04:00,NA Bev,Bottle Pop,1,Mug Root Beer,SOFMC Island Canteen
2025-03-29,20:03:52,Beer,Cans of Beer,4,Budweiser,SOFMC Portable Stations
2025-03-29,20:03:16,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2025-03-29,20:03:09,Beer,Cans of Beer,2,Budweiser,SOFMC ReMax Fan Deck
2025-03-29,20:02:59,Snacks,Pretzel,1,,SOFMC Portable Stations
2025-03-29,20:02:57,Liquor,Coffee & Baileys,1,Coffee & Cream Liqueur,SOFMC Portable Stations
2025-03-29,20:02:42,NA Bev PST Exempt,Other Beverages,2,Iced Tea,SOFMC Portable Stations
2025-03-29,20:02:41,Beer,Cans of Beer,1,Bud Light,SOFMC ReMax Fan Deck
2025-03-29,20:02:41,Beer,Cans of Beer,1,Michelob Ultra,SOFMC ReMax Fan Deck
2025-03-29,20:02:35,Beer,Draught Beer,2,Stanley Park Hazy 12oz,SOFMC ReMax Fan Deck
2025-03-29,20:02:25,Sweets,Churro,3,Regular,SOFMC Island Canteen
2025-03-29,20:02:20,"Wine, Cider & Coolers",Cider & Coolers,2,Nutrl,SOFMC Portable Stations
2025-03-29,20:01:59,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2025-03-29,20:01:59,Beer,Draught Beer,1,Stanley Park Amber 24oz,SOFMC Portable Stations
2025-03-29,20:01:59,Beer,Draught Beer,1,Stanley Park Hazy 24oz,SOFMC Portable Stations
2025-03-29,20:01:54,NA Bev,Bottle Pop,1,Mug Root Beer,SOFMC Island Canteen
2025-03-29,20:01:52,NA Bev PST Exempt,Hot Drinks,1,Coffee,SOFMC ReMax Fan Deck
2025-03-29,20:01:51,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-03-29,20:01:46,Beer,Cans of Beer,1,Budweiser,SOFMC Island Canteen
2025-03-29,20:01:46,"Wine, Cider & Coolers",Cider & Coolers,1,Ward's Cider,SOFMC Island Canteen
2025-03-29,20:01:44,"Wine, Cider & Coolers",Cider & Coolers,1,Mike's Hard Lemonade,SOFMC Portable Stations
2025-03-29,20:01:41,Beer,Cans of Beer,2,Budweiser,SOFMC Portable Stations
2025-03-29,20:01:35,"Wine, Cider & Coolers",Wine by the Glass SOFMC,1,5oz Red Wine,SOFMC ReMax Fan Deck
2025-03-29,20:01:35,"Wine, Cider & Coolers",Wine by the Glass SOFMC,1,5oz White WIne,SOFMC ReMax Fan Deck
2025-03-29,20:01:22,Sweets,Churro,4,Regular,SOFMC TacoTacoTaco
2025-03-29,20:01:22,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2025-03-29,20:01:22,Beer,Cans of Beer,1,Corona,SOFMC TacoTacoTaco
2025-03-29,20:01:20,Snacks,Pretzel,1,,SOFMC Portable Stations
2025-03-29,20:01:19,NA Bev PST Exempt,Other Beverages,1,Iced Tea,SOFMC Portable Stations
2025-03-29,20:01:17,Snacks,Chips,1,Miss Vickie's Salt & Vinegar,SOFMC Island Canteen
2025-03-29,20:01:06,Beer,Draught Beer,2,Stanley Park Pilsner 12oz,SOFMC ReMax Fan Deck
2025-03-29,20:01:04,"Wine, Cider & Coolers",Wine by the Glass SOFMC,1,5oz B&B Rose,SOFMC Portable Stations
2025-03-29,20:00:56,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-03-29,20:00:56,Beer,Draught Beer,1,Stanley Park Hazy 12oz,SOFMC ReMax Fan Deck
2025-03-29,20:00:51,Sweets,Churro,2,Regular,SOFMC Island Canteen
2025-03-29,20:00:47,Sweets,Churro,2,Regular,SOFMC Island Canteen
2025-03-29,20:00:40,NA Bev PST Exempt,Water,1,Bubly Lime,SOFMC TacoTacoTaco
2025-03-29,20:00:30,Beer,Cans of Beer,1,PHILLIPS Reverb IPA,SOFMC Island Slice
2025-03-29,20:00:29,NA Bev,Virgin Slushy,1,Mangonada,SOFMC TacoTacoTaco
2025-03-29,20:00:29,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2025-03-29,20:00:28,Food,Fries,1,Garlic Fries,SOFMC Island Canteen
2025-03-29,20:00:21,NA Bev PST Exempt,Hot Drinks,1,Coffee,SOFMC Portable Stations
2025-03-29,20:00:21,NA Bev PST Exempt,Hot Drinks,1,Latte,SOFMC Portable Stations
2025-03-29,20:00:18,Beer,Cans of Beer,1,Bud Light,SOFMC ReMax Fan Deck
2025-03-29,20:00:12,Beer,Cans of Beer,1,Bud Light,SOFMC ReMax Fan Deck
2025-03-29,20:00:12,"Wine, Cider & Coolers",Cider & Coolers,1,Nutrl,SOFMC ReMax Fan Deck
2025-03-29,20:00:08,Beer,Draught Beer,1,Stanley Park Pilsner 12oz,SOFMC ReMax Fan Deck
2025-03-29,20:00:08,NA Bev PST Exempt,Water,1,Aquafina,SOFMC ReMax Fan Deck
2025-03-29,20:00:01,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-03-29,19:59:50,Sweets,Churro,1,Regular,SOFMC Island Canteen
2025-03-29,19:59:46,NA Bev PST Exempt,Water,1,Aquafina,SOFMC ReMax Fan Deck
2025-03-29,19:59:44,"Wine, Cider & Coolers",Cider & Coolers,1,Ole Paloma,SOFMC TacoTacoTaco
2025-03-29,19:59:42,Beer,Cans of Beer,2,PHILLIPS Tiger Shark,SOFMC Phillips Bar
2025-03-29,19:59:41,NA Bev PST Exempt,Water,2,Aquafina,SOFMC TacoTacoTaco
2025-03-29,19:59:41,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Portable Stations
2025-03-29,19:59:37,Snacks,Pretzel,1,,SOFMC Island Canteen
2025-03-29,19:59:37,"Wine, Cider & Coolers",Cider & Coolers,1,Ole Margarita,SOFMC Island Canteen
2025-03-29,19:59:35,Beer,Draught Beer,1,Tilt Lager 12oz,SOFMC Phillips Bar
2025-03-29,19:59:33,Beer,Cans of Beer,1,Michelob Ultra,SOFMC Portable Stations
2025-03-29,19:59:33,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2025-03-29,19:59:30,NA Bev PST Exempt,Other Beverages,1,Stanley Park IPA ZERO,SOFMC Island Canteen
2025-03-29,19:59:27,Beer,Cans of Beer,1,PHILLIPS Tilt Light,SOFMC Phillips Bar
2025-03-29,19:59:24,Food,Hot Dog,1,Regular,SOFMC Island Canteen
2025-03-29,19:59:24,Snacks,Pretzel,1,,SOFMC Island Canteen
2025-03-29,19:59:24,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Island Canteen
2025-03-29,19:59:22,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Portable Stations
2025-03-29,19:59:19,NA Bev PST Exempt,Water,1,Aquafina,SOFMC TacoTacoTaco
2025-03-29,19:59:19,Sweets,Churro,4,Regular,SOFMC TacoTacoTaco
2025-03-29,19:59:19,Beer,Cans of Beer,2,Corona,SOFMC TacoTacoTaco
2025-03-29,19:59:09,Sweets,Candy,1,Reese Peanut Butter Cups 62g,SOFMC ReMax Fan Deck
2025-03-29,19:59:08,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-03-29,19:59:05,Beer,Cans of Beer,2,PHILLIPS Tilt Lager,SOFMC Portable Stations
2025-03-29,19:59:04,Beer,Cans of Beer,1,Bud Light,SOFMC ReMax Fan Deck
2025-03-29,19:59:04,"Wine, Cider & Coolers",Cider & Coolers,1,Nutrl,SOFMC ReMax Fan Deck
2025-03-29,19:59:00,Snacks,Pretzel,2,,SOFMC Island Canteen
2025-03-29,19:58:58,Snacks,Pretzel,1,,SOFMC ReMax Fan Deck
2025-03-29,19:58:57,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Portable Stations
2025-03-29,19:58:57,NA Bev PST Exempt,Hot Drinks,1,Tea,SOFMC Portable Stations
2025-03-29,19:58:54,NA Bev,Bottle Pop,1,Diet Pepsi,SOFMC Portable Stations
2025-03-29,19:58:50,NA Bev PST Exempt,Water,1,Aquafina,SOFMC TacoTacoTaco
2025-03-29,19:58:44,Beer,Draught Beer,1,Tilt Lager 24oz,SOFMC Phillips Bar
2025-03-29,19:58:44,Sweets,Candy,1,Skittles 92g,SOFMC ReMax Fan Deck
2025-03-29,19:58:42,Beer,Draught Beer,2,Glitterbomb 12oz,SOFMC Phillips Bar
2025-03-29,19:58:37,Food,Chicken Tenders,1,,SOFMC Island Canteen
2025-03-29,19:58:36,Beer,Draught Beer,1,Stanley Park Pilsner 24oz,SOFMC ReMax Fan Deck
2025-03-29,19:58:36,Snacks,Popcorn,1,Regular,SOFMC ReMax Fan Deck
2025-03-29,19:58:35,Beer,Cans of Beer,1,PHILLIPS Tilt Lager,SOFMC Portable Stations
2025-03-29,19:58:29,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2025-03-29,19:58:28,NA Bev PST Exempt,Hot Drinks,1,Latte,SOFMC Portable Stations
2025-03-29,19:58:25,NA Bev,Bottle Pop,1,7-Up,SOFMC Island Canteen
2025-03-29,19:58:25,Food,Fries,1,Fries,SOFMC Island Canteen
2025-03-29,19:58:19,Beer,Cans of Beer,1,PHILLIPS Tilt Lager,SOFMC Portable Stations
2025-03-29,19:58:18,Beer,Draught Beer,2,Blue Buck 12oz,SOFMC Phillips Bar
2025-03-29,19:58:17,Snacks,Pretzel,1,,SOFMC Island Canteen
2025-03-29,19:58:17,NA Bev,Bottle Pop,1,Pepsi,SOFMC Island Canteen
2025-03-29,19:58:14,Beer,Draught Beer,2,Stanley Park Pilsner 12oz,SOFMC ReMax Fan Deck
2025-03-29,19:58:05,Food,Hot Dog,2,Regular,SOFMC Island Canteen
2025-03-29,19:58:00,NA Bev,Bottle Pop,1,7-Up,SOFMC Island Canteen
2025-03-29,19:57:56,Beer,Cans of Beer,1,PHILLIPS Tilt Lager,SOFMC Portable Stations
2025-03-29,19:57:54,NA Bev PST Exempt,Hot Drinks,1,Extra Shot,SOFMC Portable Stations
2025-03-29,19:57:51,Snacks,Popcorn,1,Regular,SOFMC ReMax Fan Deck
2025-03-29,19:57:47,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Portable Stations
2025-03-29,19:57:43,Food,COMBOS,1,Tenders & Fries,SOFMC Island Canteen
2025-03-29,19:57:43,NA Bev,Bottle Pop,1,Dr. Pepper,SOFMC Island Canteen
2025-03-29,19:57:43,Sweets,Churro,1,Regular,SOFMC Island Canteen
2025-03-29,19:57:43,Food,Fries,1,Garlic Fries,SOFMC Island Canteen
2025-03-29,19:57:41,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-03-29,19:57:38,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-03-29,19:57:37,Sweets,Churro,6,Regular,SOFMC TacoTacoTaco
