Date,Time,Category,Item,Qty,Price Point Name,Location
2025-02-28,20:56:47,NA Bev PST Exempt,Other Beverages,1,Iced Tea,SOFMC Portable Stations
2025-02-28,20:54:41,NA Bev,Bottle Pop,1,Ginger Ale,SOFMC Island Canteen
2025-02-28,20:54:06,Beer,Cans of Beer,2,PHILLIPS Dino Sour,SOFMC Portable Stations
2025-02-28,20:53:32,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2025-02-28,20:53:30,Snacks,Popcorn,1,Regular,SOFMC Island Slice
2025-02-28,20:53:30,NA Bev PST Exempt,Other Beverages,2,Lemonade,SOFMC Island Slice
2025-02-28,20:53:04,Beer,Cans of Beer,2,PHILLIPS Tiger Shark,SOFMC Portable Stations
2025-02-28,20:52:57,Beer,Cans of Beer,1,Michelob Ultra,SOFMC Island Canteen
2025-02-28,20:52:55,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-02-28,20:52:53,"Wine, Cider & Coolers",Cider & Coolers,1,Ole Margarita,SOFMC TacoTacoTaco
2025-02-28,20:52:38,Food,Fries,3,Fries,SOFMC Island Canteen
2025-02-28,20:52:26,NA Bev,Bottle Pop,1,Diet Pepsi,SOFMC Portable Stations
2025-02-28,20:52:25,"Wine, Cider & Coolers",Cider & Coolers,1,Ward's Cider,SOFMC Island Canteen
2025-02-28,20:52:08,NA Bev PST Exempt,Hot Drinks,1,French Vanilla,SOFMC Portable Stations
2025-02-28,20:52:08,Snack,Cookies & Brownies,1,2 Bite Brownie,SOFMC Portable Stations
2025-02-28,20:52:07,Beer,Draught Beer,1,Blue Buck 24oz,SOFMC Phillips Bar
2025-02-28,20:52:06,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-02-28,20:52:00,Sweets,Cotton Candy,1,Regular,SOFMC Island Canteen
2025-02-28,20:52:00,Sweets,Candy,1,Twizzlers 250g,SOFMC Island Canteen
2025-02-28,20:52:00,Sweets,Candy,1,Skittles 92g,SOFMC Island Canteen
2025-02-28,20:51:57,"Wine, Cider & Coolers",Cider & Coolers,1,Strait & Narrow,SOFMC Phillips Bar
2025-02-28,20:51:57,"Wine, Cider & Coolers",Cider & Coolers,1,Mike's Hard Lemonade,SOFMC Island Slice
2025-02-28,20:51:45,Food,Pizza Slice,1,Hawaiian,SOFMC Island Slice
2025-02-28,20:51:36,Food,Fries,1,Fries,SOFMC Island Canteen
2025-02-28,20:51:32,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-02-28,20:51:29,NA Bev PST Exempt,Water,1,Aquafina,SOFMC ReMax Fan Deck
2025-02-28,20:51:04,Beer,Draught Beer,1,Blue Buck 24oz,SOFMC Phillips Bar
2025-02-28,20:51:03,NA Bev PST Exempt,Water,2,Aquafina,SOFMC Portable Stations
2025-02-28,20:51:03,NA Bev,Bottle Pop,1,Ginger Ale,SOFMC Portable Stations
2025-02-28,20:51:03,"Wine, Cider & Coolers",Wine by the Glass SOFMC,1,5oz B&B Chardonnay,SOFMC Portable Stations
2025-02-28,20:50:52,Snacks,Pretzel,1,,SOFMC Portable Stations
2025-02-28,20:50:38,Sweets,Candy,1,Twizzlers 250g,SOFMC ReMax Fan Deck
2025-02-28,20:50:36,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Portable Stations
2025-02-28,20:50:28,Beer,Cans of Beer,1,PHILLIPS Free Ride IPA,SOFMC Phillips Bar
2025-02-28,20:50:25,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Portable Stations
2025-02-28,20:50:25,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2025-02-28,20:50:24,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Portable Stations
