Date,Time,Category,Item,Qty,Price Point Name,Location
2024-10-18,21:07:28,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2024-10-18,21:07:17,Beer,Draught Beer,1,Stanley Park Amber 24oz,SOFMC Portable Stations
2024-10-18,21:06:47,Snack,Cookies & Brownies,2,2 Bite Brownie,SOFMC Portable Stations
2024-10-18,21:06:40,Beer,Cans of Beer,1,Bud Light,SOFMC Island Canteen
2024-10-18,21:06:16,NA Bev PST Exempt,Water,1,Aquafina 591ml,SOFMC ReMax Fan Deck
2024-10-18,21:06:16,Snacks,Chips,1,Ruffles All Dressed Chips,SOFMC ReMax Fan Deck
2024-10-18,21:06:13,Beer,Draught Beer,1,Stanley Park Lager 24oz,SOFMC Portable Stations
2024-10-18,21:05:59,NA Bev PST Exempt,Hot Drinks,1,Coffee,SOFMC Portable Stations
2024-10-18,21:05:54,NA Bev,Bottle Pop,1,Pepsi,SOFMC Island Canteen
2024-10-18,21:05:54,Food,Fries,1,Fries,SOFMC Island Canteen
2024-10-18,21:05:51,Beer,Draught Beer,1,Stanley Park Hazy IPA 24oz,SOFMC Portable Stations
2024-10-18,21:05:50,Beer,Cans of Beer,2,Budweiser,SOFMC Portable Stations
2024-10-18,21:05:28,NA Bev,Bottle Pop,1,Diet Pepsi,SOFMC ReMax Fan Deck
2024-10-18,21:05:28,Sweets,Candy,1,Reese Peanut Butter Cups 62g,SOFMC ReMax Fan Deck
2024-10-18,21:05:26,"Wine, Cider & Coolers",Wine by the Glass SOFMC,1,5oz Red Wine,SOFMC ReMax Fan Deck
2024-10-18,21:05:22,Beer,Draught Beer,1,Blue Buck 12oz,SOFMC Phillips Bar
2024-10-18,21:05:11,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2024-10-18,21:05:07,Beer,Draught Beer,1,Stanley Park Lager 24oz,SOFMC ReMax Fan Deck
2024-10-18,21:05:00,Sweets,Churro,1,Regular,SOFMC Island Canteen
2024-10-18,21:04:50,Beer,Cans of Beer,1,PHILLIPS Fest Bier,SOFMC Phillips Bar
2024-10-18,21:04:49,Sweets,Churro,1,Regular,SOFMC Island Canteen
2024-10-18,21:04:48,"Wine, Cider & Coolers",Cider & Coolers,2,Ole Margarita,SOFMC Portable Stations
2024-10-18,21:04:48,Beer,Cans of Beer,2,Stanley Park Amber,SOFMC Portable Stations
2024-10-18,21:04:47,"Wine, Cider & Coolers",Cider & Coolers,1,Nutrl Cherry,SOFMC ReMax Fan Deck
2024-10-18,21:04:47,Beer,Draught Beer,1,Stanley Park Pale Ale 12oz,SOFMC ReMax Fan Deck
2024-10-18,21:04:47,Snacks,Chips,1,Ruffles All Dressed Chips,SOFMC ReMax Fan Deck
2024-10-18,21:04:47,Snacks,Chips,1,Miss Vickie's Salt & Vinegar,SOFMC ReMax Fan Deck
2024-10-18,21:04:28,Food,Tacos,1,Mixta (1:1:1 x Chicken:Pork:Beef),SOFMC TacoTacoTaco
2024-10-18,21:04:21,Beer,Draught Beer,2,Stanley Park Lager 12oz,SOFMC ReMax Fan Deck
2024-10-18,21:04:13,Beer,Draught Beer,1,Stanley Park Pale Ale 24oz,SOFMC Portable Stations
2024-10-18,21:04:09,"Wine, Cider & Coolers",Cider & Coolers,1,Ward's Cider,SOFMC Portable Stations
2024-10-18,21:04:03,Beer,Cans of Beer,1,PHILLIPS Fest Bier,SOFMC Phillips Bar
2024-10-18,21:03:55,Snacks,Popcorn,1,Regular,SOFMC TacoTacoTaco
2024-10-18,21:03:50,Beer,Cans of Beer,1,PHILLIPS Fest Bier,SOFMC Phillips Bar
2024-10-18,21:03:47,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2024-10-18,21:03:44,Beer,Draught Beer,1,Stanley Park Pale Ale 12oz,SOFMC Portable Stations
