Date,Time,Category,Item,Qty,Price Point Name,Location
2026-01-31,20:35:27,Liquor,Boozy Coffee,-2,Single,SOFMC ReMax Fan Deck
2026-01-31,20:08:10,Liquor,Boozy Coffee,2,Single,SOFMC ReMax Fan Deck
2026-01-31,20:01:20,"Wine, Cider & Coolers",Cider & Coolers,2,Strait & Narrow,SOFMC ReMax Fan Deck
2026-01-31,20:00:47,Beer,Draft Beer,1,SP Hazy 12oz,SOFMC ReMax Fan Deck
2026-01-31,20:00:34,Beer,Cans of Beer,2,PHILLIPS Dino Sour,SOFMC Phillips Bar
2026-01-31,20:00:20,Sweets,Gummies,1,Regular,SOFMC ReMax Fan Deck
2026-01-31,20:00:20,Beer,Draft Beer,1,SP Hazy 12oz,SOFMC ReMax Fan Deck
2026-01-31,20:00:13,Beer,Cans of Beer,1,PHILLIPS Tilt Lager,SOFMC Portable Stations
2026-01-31,20:00:12,Sweets,Churro,1,Regular,SOFMC Island Canteen
2026-01-31,20:00:07,Beer,Cans of Beer,1,PHILLIPS Dino Sour,SOFMC Phillips Bar
2026-01-31,20:00:06,"Wine, Cider & Coolers",Cider & Coolers,1,Strait & Narrow,SOFMC Portable Stations
2026-01-31,20:00:01,"Wine, Cider & Coolers",Cider & Coolers,1,Strait & Narrow,SOFMC ReMax Fan Deck
2026-01-31,19:59:54,Snacks,Popcorn,1,Regular,SOFMC ReMax Fan Deck
2026-01-31,19:59:54,NA Bev PST Exempt,Water,1,Bubly Blackberry,SOFMC ReMax Fan Deck
2026-01-31,19:59:52,"Wine, Cider & Coolers",Cider & Coolers,1,Strait & Narrow,SOFMC Portable Stations
2026-01-31,19:59:52,Beer,Cans of Beer,1,PHILLIPS Tilt Lager,SOFMC Portable Stations
2026-01-31,19:59:20,Sweets,Churro,2,Regular,SOFMC Island Canteen
2026-01-31,19:59:14,Beer,Draft Beer,2,SP Lager 12oz,SOFMC ReMax Fan Deck
2026-01-31,19:59:14,Snacks,Popcorn,1,Regular,SOFMC ReMax Fan Deck
2026-01-31,19:58:49,NA Bev PST Exempt,Hot Drinks,1,Coffee,SOFMC ReMax Fan Deck
2026-01-31,19:58:33,Sweets,Churro,2,Regular,SOFMC Island Canteen
2026-01-31,19:58:27,Beer,Cans of Beer,1,PHILLIPS Dino Sour,SOFMC Portable Stations
2026-01-31,19:58:27,Beer,Cans of Beer,1,PHILLIPS Tiger Shark,SOFMC Portable Stations
2026-01-31,19:58:27,NA Bev,Bottle Pop,1,Mug Root Beer,SOFMC Portable Stations
2026-01-31,19:58:18,Beer,Draft Beer,1,SP Lager 12oz,SOFMC ReMax Fan Deck
2026-01-31,19:58:18,Sweets,Gummies,1,Regular,SOFMC ReMax Fan Deck
2026-01-31,19:58:15,NA Bev PST Exempt,Hot Drinks,1,Coffee,SOFMC ReMax Fan Deck
2026-01-31,19:58:13,Food,COMBOS,1,Chicken Burger & Fries,SOFMC TacoTacoTaco
2026-01-31,19:57:58,Snacks,Popcorn,1,Regular,SOFMC ReMax Fan Deck
2026-01-31,19:57:55,Food,COMBOS,1,Tenders & Fries,SOFMC Island Canteen
2026-01-31,19:57:53,Snacks,Pretzel,1,,SOFMC Phillips Bar
2026-01-31,19:57:50,Beer,Draft Beer,1,SP Hazy 24oz,SOFMC ReMax Fan Deck
2026-01-31,19:57:43,Sweets,Candy,1,Twizzlers 250g,SOFMC ReMax Fan Deck
2026-01-31,19:57:43,NA Bev PST Exempt,Water,1,Aquafina,SOFMC ReMax Fan Deck
2026-01-31,19:57:42,Sweets,Churro,2,Regular,SOFMC TacoTacoTaco
2026-01-31,19:57:35,Beer,Draft Beer,1,SP Amber 24oz,SOFMC ReMax Fan Deck
2026-01-31,19:57:34,"Wine, Cider & Coolers",Cider & Coolers,1,Strait & Narrow,SOFMC Portable Stations
2026-01-31,19:57:32,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Island Canteen
2026-01-31,19:57:24,Food,Pizza Slice,1,Hawaiian,SOFMC Island Slice
2026-01-31,19:57:24,Beer,Cans of Beer,1,Budweiser,SOFMC Island Slice
2026-01-31,19:57:20,Beer,Draft Beer,1,Glitterbomb 24oz,SOFMC Phillips Bar
2026-01-31,19:57:19,Snacks,Chips,1,Sunchips,SOFMC Portable Stations
2026-01-31,19:57:08,Beer,Draft Beer,1,Tilt Lager 24oz,SOFMC Phillips Bar
2026-01-31,19:57:08,"Wine, Cider & Coolers",Cider & Coolers,1,Nutrl,SOFMC Island Canteen
2026-01-31,19:57:01,NA Bev PST Exempt,Water,2,Aquafina,SOFMC ReMax Fan Deck
2026-01-31,19:56:57,Snacks,Chips,1,Miss Vickie's Salt & Vinegar,SOFMC TacoTacoTaco
2026-01-31,19:56:57,Beer,Draft Beer,2,Glitterbomb 12oz,SOFMC Phillips Bar
2026-01-31,19:56:55,"Wine, Cider & Coolers",Cider & Coolers,1,Mott's Caesar,SOFMC ReMax Fan Deck
2026-01-31,19:56:55,Food,Fries,1,Fries,SOFMC Island Canteen
