Date,Time,Category,Item,Qty,Price Point Name,Location
2025-09-27,20:14:59,Snacks,Chips,1,Miss Vickie's Salt & Vinegar,SOFMC Portable Stations
2025-09-27,20:14:34,Snacks,Chips,1,Sunchips,SOFMC Portable Stations
2025-09-27,20:14:34,Snacks,Chips,1,Miss Vickie's Salt & Vinegar,SOFMC Portable Stations
2025-09-27,20:13:03,Beer,Cans of Beer,1,PHILLIPS Tiger Shark,SOFMC Portable Stations
2025-09-27,20:13:03,"Wine, Cider & Coolers",Cider & Coolers,1,Cinco Paloma,SOFMC Portable Stations
2025-09-27,20:12:11,Beer,Cans of Beer,1,Michelob Ultra,SOFMC Island Slice
2025-09-27,20:10:35,Snacks,Hot Dog,1,Regular,SOFMC Island Canteen
2025-09-27,20:10:21,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2025-09-27,20:10:21,NA Bev PST Exempt,Other Beverages,1,Iced Tea,SOFMC Island Canteen
2025-09-27,20:10:05,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2025-09-27,20:09:57,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Island Slice
2025-09-27,20:09:50,Beer,Cans of Beer,1,Budweiser,SOFMC Island Slice
2025-09-27,20:09:47,NA Bev PST Exempt,Hot Drinks,1,Hot Chocolate,SOFMC Island Canteen
2025-09-27,20:09:34,NA Bev,Bottle Pop,1,Mug Root Beer,SOFMC Island Canteen
2025-09-27,20:09:34,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Island Canteen
2025-09-27,20:09:34,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-09-27,20:09:34,Snacks,Popcorn,1,Regular,SOFMC ReMax Fan Deck
2025-09-27,20:09:25,"Wine, Cider & Coolers",Cider & Coolers,3,Nutrl,SOFMC Island Canteen
2025-09-27,20:09:25,"Wine, Cider & Coolers",Cider & Coolers,1,Tempo,SOFMC Island Canteen
2025-09-27,20:09:18,Beer,Cans of Beer,1,PHILLIPS Dino Sour,SOFMC Portable Stations
2025-09-27,20:09:15,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Portable Stations
2025-09-27,20:08:21,Food,Chicken Tenders,1,,SOFMC Island Canteen
2025-09-27,20:08:21,Food,Fries,1,Fries,SOFMC Island Canteen
2025-09-27,20:08:20,Sweets,Cotton Candy,1,Regular,SOFMC Island Canteen
2025-09-27,20:08:19,"Wine, Cider & Coolers",Cider & Coolers,1,Strait & Narrow,SOFMC Phillips Bar
2025-09-27,20:08:15,Beer,Draught Beer,1,SP Hazy 12oz,SOFMC Portable Stations
2025-09-27,20:08:07,NA Bev PST Exempt,Other Beverages,1,Lemonade,SOFMC Island Slice
2025-09-27,20:08:02,NA Bev,Bottle Pop,1,Dr. Pepper,SOFMC Portable Stations
2025-09-27,20:08:02,NA Bev PST Exempt,Other Beverages,1,Lemonade,SOFMC Portable Stations
2025-09-27,20:07:50,Beer,Draught Beer,1,SP Lager 12oz,SOFMC ReMax Fan Deck
2025-09-27,20:07:42,Beer,Cans of Beer,1,Michelob Ultra,SOFMC Island Canteen
2025-09-27,20:07:40,Food,Fries,1,Poutine,SOFMC Island Canteen
2025-09-27,20:07:39,Sweets,Churro,1,Regular,SOFMC Island Canteen
2025-09-27,20:07:30,"Wine, Cider & Coolers",Cider & Coolers,1,Strait & Narrow,SOFMC Portable Stations
2025-09-27,20:07:25,Beer,Draught Beer,1,SP Amber 24oz,SOFMC Portable Stations
2025-09-27,20:07:24,Beer,Cans of Beer,1,Corona,SOFMC TacoTacoTaco
2025-09-27,20:07:24,Sweets,Candy,1,Twizzlers 250g,SOFMC ReMax Fan Deck
2025-09-27,20:07:24,Beer,Draught Beer,1,SP Lager 12oz,SOFMC ReMax Fan Deck
2025-09-27,20:07:24,Beer,Draught Beer,1,SP Lager 24oz,SOFMC ReMax Fan Deck
2025-09-27,20:07:13,NA Bev PST Exempt,Water,3,Aquafina,SOFMC Island Canteen
2025-09-27,20:07:11,Beer,Draught Beer,2,SP Lager 24oz,SOFMC ReMax Fan Deck
2025-09-27,20:07:09,Beer,Draught Beer,1,SP Lager 12oz,SOFMC ReMax Fan Deck
2025-09-27,20:07:04,"Wine, Cider & Coolers",Wine by the Glass,1,5oz MERLOT - Concessions,SOFMC Portable Stations
2025-09-27,20:07:01,Beer,Cans of Beer,1,PHILLIPS Dino Sour,SOFMC Phillips Bar
2025-09-27,20:06:41,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2025-09-27,20:06:33,Beer,Draught Beer,1,SP Hazy 12oz,SOFMC Portable Stations
2025-09-27,20:06:31,NA Bev,Bottle Pop,1,Dr. Pepper,SOFMC Island Canteen
2025-09-27,20:06:28,Snacks,Pretzel,2,,SOFMC Portable Stations
2025-09-27,20:06:27,Beer,Cans of Beer,1,Budweiser,SOFMC TacoTacoTaco
2025-09-27,20:06:21,Beer,Cans of Beer,1,Budweiser,SOFMC Island Slice
2025-09-27,20:06:16,Beer,Draught Beer,2,Blue Buck 12oz,SOFMC Phillips Bar
2025-09-27,20:06:13,NA Bev PST Exempt,Hot Drinks,2,Coffee,SOFMC ReMax Fan Deck
2025-09-27,20:06:12,Sweets,Churro,1,Regular,SOFMC Island Canteen
2025-09-27,20:06:12,Food,Fries,1,Fries,SOFMC Island Canteen
2025-09-27,20:06:06,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-09-27,20:05:59,Snacks,Hot Dog,2,Regular,SOFMC ReMax Fan Deck
2025-09-27,20:05:59,NA Bev,Bottle Pop,1,Diet Pepsi,SOFMC ReMax Fan Deck
2025-09-27,20:05:59,NA Bev,Bottle Pop,1,Mug Root Beer,SOFMC ReMax Fan Deck
2025-09-27,20:05:51,Food,Pizza Slice,1,Hawaiian,SOFMC Island Slice
2025-09-27,20:05:44,"Wine, Cider & Coolers",Wine by the Glass,1,5oz ROSE - Concessions,SOFMC Portable Stations
2025-09-27,20:05:44,Beer,Cans of Beer,1,Michelob Ultra,SOFMC Portable Stations
2025-09-27,20:05:43,Food,Pizza Slice,2,Pepperoni,SOFMC Island Slice
2025-09-27,20:05:43,Beer,Cans of Beer,2,Budweiser,SOFMC Island Slice
2025-09-27,20:05:29,Beer,Draught Beer,1,SP Lager 12oz,SOFMC ReMax Fan Deck
2025-09-27,20:05:26,Beer,Draught Beer,1,Blue Buck 12oz,SOFMC Phillips Bar
2025-09-27,20:05:22,"Wine, Cider & Coolers",Wine by the Glass,1,5oz MERLOT - Concessions,SOFMC ReMax Fan Deck
2025-09-27,20:05:19,Sweets,Candy,1,Twizzlers 250g,SOFMC Island Slice
2025-09-27,20:05:19,Sweets,Candy,1,Twix 86g,SOFMC Island Slice
2025-09-27,20:05:19,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Island Slice
2025-09-27,20:05:17,Beer,Draught Beer,1,SP Hazy 24oz,SOFMC Portable Stations
2025-09-27,20:05:03,Food,Fries,1,Fries,SOFMC Island Canteen
2025-09-27,20:05:02,Beer,Cans of Beer,1,PHILLIPS Dino Sour,SOFMC Portable Stations
2025-09-27,20:05:00,Beer,Draught Beer,1,Blue Buck 24oz,SOFMC Phillips Bar
2025-09-27,20:05:00,Beer,Draught Beer,1,Glitterbomb 24oz,SOFMC Phillips Bar
2025-09-27,20:04:57,NA Bev,Bottle Pop,1,Mug Root Beer,SOFMC Island Canteen
2025-09-27,20:04:57,NA Bev,Bottle Pop,1,Diet Pepsi,SOFMC Island Canteen
2025-09-27,20:04:55,Beer,Draught Beer,1,SP Lager 24oz,SOFMC ReMax Fan Deck
2025-09-27,20:04:55,Snacks,Popcorn,1,Regular,SOFMC ReMax Fan Deck
2025-09-27,20:04:55,Sweets,Candy,1,Kit Kat 73g,SOFMC ReMax Fan Deck
2025-09-27,20:04:51,Beer,Draught Beer,1,Blue Buck 24oz,SOFMC Phillips Bar
2025-09-27,20:04:50,Beer,Cans of Beer,1,PHILLIPS Tiger Shark,SOFMC Portable Stations
2025-09-27,20:04:28,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2025-09-27,20:04:28,Beer,Draught Beer,1,Blue Buck 24oz,SOFMC Phillips Bar
2025-09-27,20:04:28,Snacks,Hot Dog,1,Regular,SOFMC Island Canteen
2025-09-27,20:04:17,Sweets,Churro,1,Regular,SOFMC Island Canteen
2025-09-27,20:04:09,Sweets,Churro,2,Regular,SOFMC TacoTacoTaco
2025-09-27,20:04:09,Beer,Draught Beer,1,Glitterbomb 12oz,SOFMC Phillips Bar
2025-09-27,20:04:06,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2025-09-27,20:04:04,Snacks,Hot Dog,1,Regular,SOFMC Island Canteen
2025-09-27,20:03:59,Snacks,Popcorn,1,Regular,SOFMC Island Slice
2025-09-27,20:03:59,NA Bev,Bottle Pop,1,7-Up,SOFMC Island Canteen
2025-09-27,20:03:57,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2025-09-27,20:03:55,Snacks,Hot Dog,1,Regular,SOFMC ReMax Fan Deck
2025-09-27,20:03:55,Beer,Draught Beer,1,Glitterbomb 24oz,SOFMC Phillips Bar
2025-09-27,20:03:38,Sweets,Candy,1,Kit Kat 73g,SOFMC TacoTacoTaco
2025-09-27,20:03:38,"Wine, Cider & Coolers",Cider & Coolers,2,Mott's Caesar,SOFMC ReMax Fan Deck
2025-09-27,20:03:35,Snacks,Pretzel,1,,SOFMC Island Canteen
2025-09-27,20:03:34,Beer,Draught Beer,1,Tilt Lager 24oz,SOFMC Phillips Bar
