Date,Time,Category,Item,Qty,Price Point Name,Location
2025-04-19,20:39:38,"Wine, Cider & Coolers",Cider & Coolers,1,Ole Margarita,SOFMC ReMax Fan Deck
2025-04-19,20:39:38,Beer,Draught Beer,1,Stanley Park Pilsner 12oz,SOFMC ReMax Fan Deck
2025-04-19,20:39:38,Beer,Draught Beer,1,Stanley Park Pale Ale 12oz,SOFMC ReMax Fan Deck
2025-04-19,20:38:52,NA Bev PST Exempt,Water,1,Aquafina,SOFMC ReMax Fan Deck
2025-04-19,20:38:52,Snacks,Chips,1,Ruffles All Dressed Chips,SOFMC ReMax Fan Deck
2025-04-19,20:38:47,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Portable Stations
2025-04-19,20:38:32,"Wine, Cider & Coolers",Cider & Coolers,1,Ole Margarita,SOFMC Island Canteen
2025-04-19,20:38:17,Beer,Cans of Beer,1,Budweiser,SOFMC Portable Stations
2025-04-19,20:38:17,"Wine, Cider & Coolers",Cider & Coolers,1,Mott's Caesar,SOFMC Portable Stations
2025-04-19,20:38:13,Beer,Cans of Beer,1,Michelob Ultra,SOFMC ReMax Fan Deck
2025-04-19,20:38:13,"Wine, Cider & Coolers",Cider & Coolers,1,Tempo,SOFMC ReMax Fan Deck
2025-04-19,20:37:35,NA Bev PST Exempt,Water,2,Aquafina,SOFMC Portable Stations
2025-04-19,20:37:31,Beer,Draught Beer,1,Stanley Park Pilsner 12oz,SOFMC ReMax Fan Deck
2025-04-19,20:36:52,Beer,Cans of Beer,1,Budweiser,SOFMC Island Canteen
2025-04-19,20:36:48,Beer,Cans of Beer,1,PHILLIPS Tilt Lager,SOFMC Portable Stations
2025-04-19,20:36:46,Beer,Cans of Beer,1,Budweiser,SOFMC ReMax Fan Deck
2025-04-19,20:36:17,NA Bev,Bottle Pop,1,7-Up,SOFMC ReMax Fan Deck
2025-04-19,20:36:17,NA Bev PST Exempt,Water,1,Aquafina,SOFMC ReMax Fan Deck
2025-04-19,20:36:17,Snacks,Chips,1,Ruffles All Dressed Chips,SOFMC ReMax Fan Deck
2025-04-19,20:36:10,Snacks,Popcorn,1,Regular,SOFMC ReMax Fan Deck
2025-04-19,20:36:08,NA Bev PST Exempt,Other Beverages,1,Lemonade,SOFMC Portable Stations
2025-04-19,20:36:02,Sweets,Candy,1,Twix 86g,SOFMC ReMax Fan Deck
2025-04-19,20:35:58,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Island Canteen
2025-04-19,20:35:56,"Wine, Cider & Coolers",Cider & Coolers,2,Ole Margarita,SOFMC Island Canteen
