Date,Time,Category,Item,Qty,Price Point Name,Location
2024-09-21,20:04:13,Food,Fries,1,Fries,SOFMC Island Canteen
2024-09-21,20:01:38,Sweets,Candy,1,Kit Kat 73g,SOFMC Island Canteen
2024-09-21,20:01:22,NA Bev PST Exempt,Hot Drinks,1,Tea,SOFMC ReMax Fan Deck
2024-09-21,20:01:11,Sweets,Churro,3,Regular,SOFMC TacoTacoTaco
2024-09-21,20:00:42,Food,Tacos,1,Chicken Tinga x 3,SOFMC TacoTacoTaco
2024-09-21,20:00:42,"Wine, Cider & Coolers",Cider & Coolers,1,Nutrl Cherry,SOFMC ReMax Fan Deck
2024-09-21,20:00:42,"Wine, Cider & Coolers",Cider & Coolers,2,Ward's Cider,SOFMC Island Canteen
2024-09-21,20:00:37,Beer,Cans of Beer,1,Budweiser,SOFMC Portable Stations
2024-09-21,20:00:37,Beer,Cans of Beer,1,Stanley Park Amber,SOFMC Portable Stations
2024-09-21,20:00:28,Food,Fries,1,Fries,SOFMC Island Canteen
2024-09-21,20:00:12,NA Bev PST Exempt,Water,1,Aquafina 591ml,SOFMC Island Slice
2024-09-21,20:00:12,Food,Pizza Slice,1,Cheese,SOFMC Island Slice
2024-09-21,20:00:00,"Wine, Cider & Coolers",Cider & Coolers,1,Mike's Hard Lemonade,SOFMC Portable Stations
2024-09-21,20:00:00,Beer,Cans of Beer,1,Bud Light,SOFMC Portable Stations
2024-09-21,19:59:44,"Wine, Cider & Coolers",Cider & Coolers,1,Tempo Mango Peach,SOFMC ReMax Fan Deck
2024-09-21,19:59:38,Beer,Cans of Beer,1,Bud Light,SOFMC Island Canteen
2024-09-21,19:59:38,Sweets,Candy,1,Twizzlers 250g,SOFMC Island Canteen
2024-09-21,19:59:33,Beer,Cans of Beer,1,Budweiser,SOFMC ReMax Fan Deck
2024-09-21,19:59:21,Sweets,Candy,1,Twix 86g,SOFMC Portable Stations
2024-09-21,19:59:17,"Wine, Cider & Coolers",Cider & Coolers,1,Ole Margarita,SOFMC ReMax Fan Deck
2024-09-21,19:59:14,Snacks,Pretzel,1,,SOFMC Portable Stations
2024-09-21,19:59:13,Snacks,Pretzel,1,,SOFMC Island Canteen
2024-09-21,19:59:13,NA Bev,Bottle Pop,1,Mug Root Beer,SOFMC Island Canteen
2024-09-21,19:59:07,"Wine, Cider & Coolers",Cider & Coolers,1,Mott's Caesar,SOFMC Portable Stations
2024-09-21,19:59:05,Food,Pizza Slice,1,Cheese,SOFMC Island Slice
2024-09-21,19:58:48,Beer,Draught Beer,1,Stanley Park Pale Ale 12oz,SOFMC ReMax Fan Deck
2024-09-21,19:58:37,NA Bev,Bottle Pop,1,Dr. Pepper,SOFMC Portable Stations
2024-09-21,19:58:37,NA Bev,Bottle Pop,1,Mug Root Beer,SOFMC Portable Stations
2024-09-21,19:58:37,Sweets,Candy,1,Twizzlers 250g,SOFMC Portable Stations
2024-09-21,19:58:33,"Wine, Cider & Coolers",Cider & Coolers,2,Ole Margarita,SOFMC Island Canteen
2024-09-21,19:58:33,Beer,Cans of Beer,1,Budweiser,SOFMC Island Canteen
2024-09-21,19:58:27,Beer,Cans of Beer,1,Michelob Ultra,SOFMC ReMax Fan Deck
2024-09-21,19:58:20,NA Bev,Bottle Pop,1,Pepsi,SOFMC Portable Stations
2024-09-21,19:58:19,NA Bev PST Exempt,Water,1,Aquafina 591ml,SOFMC Island Canteen
2024-09-21,19:58:19,Sweets,Candy,1,Reese Peanut Butter Cups 62g,SOFMC Island Canteen
2024-09-21,19:58:19,NA Bev PST Exempt,Water,1,Aquafina 591ml,SOFMC Island Canteen
2024-09-21,19:58:19,Beer,Cans of Beer,2,Bud Light,SOFMC Island Slice
2024-09-21,19:58:19,Food,Pizza Slice,1,Hawaiian,SOFMC Island Slice
