Date,Time,Category,Item,Qty,Price Point Name,Location
2026-02-21,20:09:43,Snacks,Pretzel,1,,SOFMC Portable Stations
2026-02-21,20:08:40,Food,Chicken Tenders,1,,SOFMC Island Canteen
2026-02-21,20:08:40,Food,Fries,1,Fries,SOFMC Island Canteen
2026-02-21,20:08:40,NA Bev,Bottle Pop,2,Pepsi,SOFMC Island Canteen
2026-02-21,20:08:17,Beer,Cans of Beer,2,Budweiser,SOFMC Portable Stations
2026-02-21,20:07:14,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2026-02-21,20:07:14,NA Bev PST Exempt,Other Beverages,3,Iced Tea,SOFMC Island Canteen
2026-02-21,20:07:14,NA Bev,Bottle Pop,1,Mug Root Beer,SOFMC Island Canteen
2026-02-21,20:06:48,Food,Pizza Slice,1,Cheese,SOFMC Island Slice
2026-02-21,20:06:27,Beer,Cans of Beer,2,Budweiser,SOFMC Island Canteen
2026-02-21,20:06:26,NA Bev,Bottle Pop,1,Diet Pepsi,SOFMC Island Slice
2026-02-21,20:06:26,NA Bev PST Exempt,Water,1,Bubly Blackberry,SOFMC Island Slice
2026-02-21,20:06:25,NA Bev,Bottle Pop,1,Mug Root Beer,SOFMC ReMax Fan Deck
2026-02-21,20:06:06,Snacks,Popcorn,1,Regular,SOFMC Island Slice
2026-02-21,20:06:06,Beer,Cans of Beer,1,Bud Light,SOFMC Island Slice
2026-02-21,20:05:50,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2026-02-21,20:05:50,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Island Canteen
2026-02-21,20:05:50,Snacks,Popcorn,1,Regular,SOFMC Island Slice
2026-02-21,20:05:29,Food,Pizza Slice,2,Cheese,SOFMC Island Slice
2026-02-21,20:05:05,NA Bev,Bottle Pop,2,Ginger Ale,SOFMC Portable Stations
2026-02-21,20:05:03,Beer,Draft Beer,1,SP Lager 12oz,SOFMC ReMax Fan Deck
2026-02-21,20:04:59,Food,COMBOS,1,Dog & Chips,SOFMC Island Canteen
2026-02-21,20:04:59,NA Bev,Bottle Pop,2,Pepsi,SOFMC Island Canteen
2026-02-21,20:04:50,Beer,Draft Beer,2,Glitterbomb 12oz,SOFMC Phillips Bar
2026-02-21,20:04:48,Beer,Draft Beer,1,SP Lager 12oz,SOFMC ReMax Fan Deck
2026-02-21,20:04:35,Sweets,Churro,1,Regular,SOFMC Island Canteen
2026-02-21,20:04:34,Beer,Cans of Beer,2,PHILLIPS Dino Sour,SOFMC Phillips Bar
2026-02-21,20:04:34,Snacks,Chips,1,Ruffles All Dressed Chips,SOFMC Phillips Bar
2026-02-21,20:04:32,Beer,Draft Beer,1,SP Lager 12oz,SOFMC ReMax Fan Deck
2026-02-21,20:04:28,Food,Pizza Slice,1,Cheese,SOFMC Island Slice
2026-02-21,20:04:28,Food,Pizza Slice,1,Hawaiian,SOFMC Island Slice
2026-02-21,20:04:26,NA Bev,Bottle Pop,1,7-Up,SOFMC ReMax Fan Deck
2026-02-21,20:04:26,Sweets,Candy,1,Twizzlers 250g,SOFMC ReMax Fan Deck
2026-02-21,20:04:15,NA Bev PST Exempt,Other Beverages,1,Gatorade,SOFMC ReMax Fan Deck
2026-02-21,20:04:15,NA Bev PST Exempt,Water,1,Aquafina,SOFMC ReMax Fan Deck
2026-02-21,20:04:13,Beer,Draft Beer,1,SP Hazy 12oz,SOFMC ReMax Fan Deck
2026-02-21,20:04:06,Food,Fries,1,Fries,SOFMC Island Canteen
