Date,Time,Category,Item,Qty,Price Point Name,Location
2025-12-18,21:05:38,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Portable Stations
2025-12-18,21:03:26,Snacks,Hot Dog,3,Regular,SOFMC Island Slice
2025-12-18,21:01:46,Beer,Cans of Beer,1,PHILLIPS Tiger Shark,SOFMC Portable Stations
2025-12-18,20:58:51,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2025-12-18,20:58:24,Beer,Draft Beer,1,SP Hazy 12oz,SOFMC ReMax Fan Deck
2025-12-18,20:58:12,Beer,Draft Beer,2,Tilt Lager 24oz,SOFMC Phillips Bar
2025-12-18,20:57:55,Beer,Draft Beer,1,SP Hazy 12oz,SOFMC ReMax Fan Deck
2025-12-18,20:57:55,Sweets,Candy,1,Twizzlers 250g,SOFMC ReMax Fan Deck
2025-12-18,20:57:03,Snacks,Hot Dog,1,Regular,SOFMC Island Canteen
2025-12-18,20:57:03,NA Bev PST Exempt,Other Beverages,1,Iced Tea,SOFMC Island Canteen
2025-12-18,20:57:03,Snacks,Pretzel,1,,SOFMC Island Canteen
2025-12-18,20:56:36,Sweets,Gummies,1,Regular,SOFMC Island Canteen
2025-12-18,20:56:17,Sweets,Churro,1,Regular,SOFMC Island Canteen
2025-12-18,20:56:01,Beer,Draft Beer,1,SP Lager 12oz,SOFMC ReMax Fan Deck
2025-12-18,20:56:01,NA Bev PST Exempt,Water,1,Aquafina,SOFMC ReMax Fan Deck
2025-12-18,20:56:01,Beer,Draft Beer,1,SP Lager 12oz,SOFMC ReMax Fan Deck
2025-12-18,20:55:33,Beer,Cans of Beer,1,Modelo,SOFMC TacoTacoTaco
2025-12-18,20:55:15,Beer,Draft Beer,1,SP Hazy 12oz,SOFMC ReMax Fan Deck
2025-12-18,20:55:08,NA Bev PST Exempt,Other Beverages,1,Iced Tea,SOFMC Island Canteen
2025-12-18,20:54:48,Beer,Draft Beer,1,SP Lager 24oz,SOFMC ReMax Fan Deck
2025-12-18,20:54:48,Sweets,Candy,1,Kit Kat 73g,SOFMC ReMax Fan Deck
2025-12-18,20:54:44,NA Bev PST Exempt,Water,1,Bubly Lime,SOFMC Island Canteen
2025-12-18,20:54:44,Beer,Draft Beer,1,SP Lager 12oz,SOFMC ReMax Fan Deck
2025-12-18,20:54:41,Beer,Cans of Beer,2,Budweiser,SOFMC Island Canteen
2025-12-18,20:54:41,Sweets,Candy,1,Twix 86g,SOFMC Island Canteen
2025-12-18,20:54:38,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-12-18,20:54:13,Food,Fries,1,Fries,SOFMC TacoTacoTaco
2025-12-18,20:53:44,"Wine, Cider & Coolers",Cider & Coolers,2,Strait & Narrow,SOFMC ReMax Fan Deck
2025-12-18,20:53:34,"Wine, Cider & Coolers",Cider & Coolers,1,Cinco Lime Soda,SOFMC ReMax Fan Deck
2025-12-18,20:53:34,Beer,Draft Beer,1,SP Lager 12oz,SOFMC ReMax Fan Deck
2025-12-18,20:53:34,NA Bev PST Exempt,Hot Drinks,1,Hot Chocolate,SOFMC ReMax Fan Deck
2025-12-18,20:52:53,NA Bev PST Exempt,Water,1,Aquafina,SOFMC ReMax Fan Deck
2025-12-18,20:52:40,Food,Pizza Slice,1,Cheese,SOFMC Island Slice
2025-12-18,20:52:40,NA Bev PST Exempt,Other Beverages,1,Gatorade,SOFMC Island Slice
2025-12-18,20:52:35,Beer,Cans of Beer,1,PHILLIPS Blue Buck,SOFMC Island Canteen
2025-12-18,20:52:35,Food,Fries,1,Garlic Fries,SOFMC Island Canteen
2025-12-18,20:52:31,Beer,Cans of Beer,1,PHILLIPS Dino Sour,SOFMC Phillips Bar
2025-12-18,20:52:28,Beer,Cans of Beer,1,Budweiser,SOFMC Island Canteen
2025-12-18,20:52:28,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Island Canteen
2025-12-18,20:52:27,"Wine, Cider & Coolers",Cider & Coolers,1,Ward's Cider,SOFMC ReMax Fan Deck
2025-12-18,20:52:16,Beer,Cans of Beer,2,PHILLIPS Dino Sour,SOFMC Phillips Bar
2025-12-18,20:52:06,"Wine, Cider & Coolers",Cider & Coolers,2,Ward's Cider,SOFMC ReMax Fan Deck
2025-12-18,20:52:06,Snacks,Popcorn,1,Regular,SOFMC ReMax Fan Deck
2025-12-18,20:52:03,NA Bev PST Exempt,Other Beverages,1,Stanley Park IPA ZERO,SOFMC ReMax Fan Deck
2025-12-18,20:51:44,NA Bev PST Exempt,Water,1,Aquafina,SOFMC Island Slice
2025-12-18,20:51:40,Beer,Draft Beer,1,SP Hazy 24oz,SOFMC Portable Stations
2025-12-18,20:51:31,Beer,Draft Beer,2,SP Lager 12oz,SOFMC ReMax Fan Deck
2025-12-18,20:51:31,Sweets,Gummies,1,Regular,SOFMC ReMax Fan Deck
2025-12-18,20:51:21,Beer,Cans of Beer,1,PHILLIPS Dino Sour,SOFMC Phillips Bar
2025-12-18,20:51:16,Snacks,Popcorn,1,Regular,SOFMC ReMax Fan Deck
2025-12-18,20:51:16,NA Bev PST Exempt,Other Beverages,1,Lemonade,SOFMC ReMax Fan Deck
2025-12-18,20:51:10,Beer,Cans of Beer,1,PHILLIPS Dino Sour,SOFMC Phillips Bar
2025-12-18,20:51:08,"Wine, Cider & Coolers",Cider & Coolers,1,Tempo,SOFMC Island Canteen
2025-12-18,20:51:08,Sweets,Gummies,1,Regular,SOFMC Island Canteen
2025-12-18,20:51:06,Sweets,Candy,1,Twizzlers 250g,SOFMC ReMax Fan Deck
2025-12-18,20:50:55,Beer,Draft Beer,1,SP Amber 24oz,SOFMC ReMax Fan Deck
2025-12-18,20:50:55,Beer,Draft Beer,1,SP Amber 12oz,SOFMC ReMax Fan Deck
2025-12-18,20:50:49,Food,Pizza Slice,1,Pepperoni,SOFMC Island Slice
2025-12-18,20:50:43,Beer,Draft Beer,1,SP Amber 24oz,SOFMC ReMax Fan Deck
2025-12-18,20:50:43,Snacks,Pretzel,1,,SOFMC Portable Stations
2025-12-18,20:50:43,Beer,Cans of Beer,1,Budweiser,SOFMC Portable Stations
2025-12-18,20:50:43,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2025-12-18,20:50:42,Food,Pizza Slice,1,Pepperoni,SOFMC Island Slice
2025-12-18,20:50:33,Food,Fries,1,Poutine,SOFMC Island Canteen
2025-12-18,20:50:22,Sweets,Gummies,1,Regular,SOFMC Portable Stations
2025-12-18,20:50:21,Beer,Cans of Beer,2,Modelo,SOFMC TacoTacoTaco
2025-12-18,20:50:18,Sweets,Churro,1,Regular,SOFMC Island Canteen
2025-12-18,20:50:16,Beer,Draft Beer,1,SP Amber 12oz,SOFMC Portable Stations
2025-12-18,20:50:16,NA Bev,Bottle Pop,1,7-Up,SOFMC Island Canteen
2025-12-18,20:50:00,Food,Pizza Slice,2,Cheese,SOFMC Island Slice
2025-12-18,20:50:00,Food,Pizza Slice,2,Pepperoni,SOFMC Island Slice
2025-12-18,20:49:47,NA Bev PST Exempt,Other Beverages,1,Iced Tea,SOFMC Island Slice
2025-12-18,20:49:46,"Wine, Cider & Coolers",Cider & Coolers,1,Cinco Lime Soda,SOFMC ReMax Fan Deck
2025-12-18,20:49:39,Snacks,Popcorn,1,Regular,SOFMC Island Canteen
2025-12-18,20:49:39,Sweets,Churro,1,Regular,SOFMC Island Canteen
2025-12-18,20:49:31,NA Bev,Bottle Pop,1,Diet Pepsi,SOFMC Island Canteen
2025-12-18,20:49:21,NA Bev PST Exempt,Hot Drinks,1,Hot Chocolate,SOFMC Island Canteen
2025-12-18,20:49:20,Sweets,Churro,2,Regular,SOFMC TacoTacoTaco
2025-12-18,20:49:20,Food,Pizza Slice,1,Pepperoni,SOFMC Island Slice
2025-12-18,20:49:03,"Wine, Cider & Coolers",Cider & Coolers,1,Cinco Lime Soda,SOFMC Island Canteen
2025-12-18,20:48:59,Food,Fries,1,Fries,SOFMC Island Canteen
2025-12-18,20:48:54,Beer,Cans of Beer,1,Bud Light,SOFMC Island Slice
2025-12-18,20:48:47,NA Bev,Bottle Pop,1,Pepsi,SOFMC Portable Stations
2025-12-18,20:48:38,NA Bev PST Exempt,Hot Drinks,2,Hot Chocolate,SOFMC ReMax Fan Deck
2025-12-18,20:48:34,NA Bev,Bottle Pop,1,Mug Root Beer,SOFMC Island Canteen
2025-12-18,20:48:28,"Wine, Cider & Coolers",Cider & Coolers,1,Strait & Narrow,SOFMC Island Canteen
2025-12-18,20:48:18,"Wine, Cider & Coolers",Cider & Coolers,1,Strait & Narrow,SOFMC Phillips Bar
2025-12-18,20:48:15,NA Bev,Bottle Pop,1,7-Up,SOFMC Portable Stations
2025-12-18,20:48:15,NA Bev PST Exempt,Other Beverages,1,Lemonade,SOFMC Portable Stations
2025-12-18,20:48:11,NA Bev PST Exempt,Water,2,Aquafina,SOFMC ReMax Fan Deck
2025-12-18,20:48:10,NA Bev PST Exempt,Hot Drinks,1,Tea,SOFMC ReMax Fan Deck
2025-12-18,20:48:10,NA Bev,Bottle Pop,2,Diet Pepsi,SOFMC ReMax Fan Deck
2025-12-18,20:48:10,NA Bev,Bottle Pop,1,Ginger Ale,SOFMC Portable Stations
2025-12-18,20:47:59,NA Bev,Bottle Pop,1,Pepsi,SOFMC Island Canteen
2025-12-18,20:47:59,Sweets,Churro,2,Regular,SOFMC Island Canteen
2025-12-18,20:47:42,Snacks,Pretzel,1,,SOFMC ReMax Fan Deck
2025-12-18,20:47:22,Beer,Draft Beer,1,SP Lager 24oz,SOFMC Portable Stations
2025-12-18,20:47:22,Beer,Cans of Beer,1,PHILLIPS Dino Sour,SOFMC Portable Stations
2025-12-18,20:47:22,"Wine, Cider & Coolers",Cider & Coolers,2,Cinco Lime Soda,SOFMC Portable Stations
2025-12-18,20:47:22,NA Bev,Bottle Pop,1,Ginger Ale,SOFMC Portable Stations
2025-12-18,20:47:16,Beer,Draft Beer,1,Tilt Lager 24oz,SOFMC Phillips Bar
